<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.29	1795.46	1799.43	1781.19	1786.89	98757	0	6
2021.11.30	1786.89	1808.65	1769.90	1773.27	139372	0	6
2021.12.01	1773.28	1794.53	1772.67	1781.88	121639	0	5
2021.12.02	1781.92	1782.04	1761.91	1769.06	104022	0	5
2021.12.03	1769.05	1786.14	1766.15	1783.49	109986	0	5
2021.12.06	1782.90	1787.76	1775.68	1781.00	77946	0	5
2021.12.07	1780.97	1787.86	1772.12	1784.79	74455	0	5
2021.12.08	1784.75	1793.14	1779.65	1783.57	78983	0	5
2021.12.09	1783.54	1787.62	1773.49	1776.39	77324	0	5
2021.12.10	1776.40	1789.46	1770.14	1782.88	76663	0	5
2021.12.13	1783.32	1791.65	1781.84	1785.79	62222	0	5
2021.12.14	1785.82	1789.54	1766.48	1772.53	74190	0	5
2021.12.15	1772.55	1781.50	1753.12	1779.52	104234	0	5
2021.12.16	1779.54	1799.69	1775.57	1798.77	83351	0	5
2021.12.17	1798.81	1814.27	1795.86	1798.13	76715	0	5
2021.12.20	1800.13	1804.16	1788.36	1791.68	72789	0	5
2021.12.21	1791.69	1800.41	1784.87	1790.54	68262	0	5
2021.12.22	1790.54	1805.03	1785.92	1803.73	61677	0	5
2021.12.23	1803.73	1810.76	1798.78	1808.52	57550	0	5
2021.12.27	1807.32	1813.45	1802.97	1812.42	53664	0	5
2021.12.28	1812.43	1820.26	1805.07	1806.63	58342	0	5
2021.12.29	1806.63	1807.70	1789.38	1804.59	66452	0	5
2021.12.30	1804.60	1817.18	1796.24	1815.77	62109	0	6
2021.12.31	1815.63	1828.79	1814.77	1827.68	57664	0	5
2022.01.03	1828.47	1831.56	1798.37	1804.17	76454	0	5
2022.01.04	1804.20	1816.75	1798.52	1813.94	79004	0	5
2022.01.05	1813.95	1829.67	1808.32	1810.31	79856	0	5
2022.01.06	1810.34	1811.55	1786.40	1791.43	98881	0	6
2022.01.07	1791.45	1798.68	1782.49	1796.97	85480	0	5
2022.01.10	1795.17	1802.79	1790.35	1801.25	86326	0	0
2022.01.11	1801.22	1823.27	1801.22	1820.73	82491	0	0
2022.01.12	1820.61	1828.07	1814.72	1825.35	79963	0	0
2022.01.13	1825.27	1828.18	1812.31	1820.87	82651	0	0
2022.01.14	1820.87	1829.22	1814.69	1817.38	89458	0	0
2022.01.17	1816.48	1823.17	1813.12	1819.01	46154	0	0
2022.01.18	1819.01	1822.74	1805.79	1814.26	115855	0	5
