<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.29	00:00:00	1795.46	1797.06	1789.97	1794.74	30837	0	6
2021.11.29	08:00:00	1794.77	1799.43	1784.25	1787.03	43393	0	6
2021.11.29	16:00:00	1787.00	1787.94	1781.19	1786.89	24527	0	6
2021.11.30	00:00:00	1786.89	1795.89	1782.98	1791.81	30388	0	6
2021.11.30	08:00:00	1791.81	1808.65	1783.37	1784.53	61447	0	6
2021.11.30	16:00:00	1784.57	1784.78	1769.90	1773.27	47537	0	6
2021.12.01	00:00:00	1773.28	1794.53	1772.67	1784.86	36025	0	5
2021.12.01	08:00:00	1784.90	1792.27	1776.69	1786.05	50565	0	5
2021.12.01	16:00:00	1786.01	1787.94	1777.39	1781.88	35049	0	6
2021.12.02	00:00:00	1781.92	1782.04	1774.95	1775.20	25068	0	6
2021.12.02	08:00:00	1775.23	1781.26	1763.29	1767.34	52038	0	5
2021.12.02	16:00:00	1767.37	1770.69	1761.91	1769.06	26916	0	6
2021.12.03	00:00:00	1769.05	1776.52	1767.56	1770.54	23745	0	5
2021.12.03	08:00:00	1770.57	1778.66	1766.15	1770.81	56042	0	5
2021.12.03	16:00:00	1770.78	1786.14	1769.83	1783.49	30199	0	6
2021.12.06	00:00:00	1782.90	1787.76	1781.14	1783.00	23884	0	5
2021.12.06	08:00:00	1782.97	1782.97	1775.68	1778.31	35763	0	6
2021.12.06	16:00:00	1778.31	1785.03	1777.73	1781.00	18299	0	5
2021.12.07	00:00:00	1780.97	1784.59	1776.91	1782.73	20054	0	5
2021.12.07	08:00:00	1782.77	1784.72	1772.12	1782.58	36137	0	5
2021.12.07	16:00:00	1782.57	1787.86	1781.99	1784.79	18264	0	5
2021.12.08	00:00:00	1784.75	1791.64	1784.54	1789.88	19560	0	5
2021.12.08	08:00:00	1789.84	1793.14	1779.65	1782.49	41432	0	5
2021.12.08	16:00:00	1782.53	1786.85	1781.16	1783.57	17991	0	6
2021.12.09	00:00:00	1783.54	1787.15	1782.21	1786.24	19202	0	5
2021.12.09	08:00:00	1786.21	1787.62	1773.71	1779.63	39361	0	6
2021.12.09	16:00:00	1779.60	1780.90	1773.49	1776.39	18761	0	5
2021.12.10	00:00:00	1776.40	1779.67	1771.41	1773.04	19129	0	5
2021.12.10	08:00:00	1773.04	1789.46	1770.14	1783.19	42908	0	5
2021.12.10	16:00:00	1783.23	1786.48	1781.44	1782.88	14626	0	5
2021.12.13	00:00:00	1783.32	1788.19	1782.52	1785.48	16750	0	5
2021.12.13	08:00:00	1785.51	1791.65	1781.84	1786.89	29563	0	5
2021.12.13	16:00:00	1786.91	1790.17	1785.07	1785.79	15909	0	5
2021.12.14	00:00:00	1785.82	1789.54	1784.15	1784.69	16960	0	5
2021.12.14	08:00:00	1784.66	1785.75	1766.48	1774.23	39784	0	5
2021.12.14	16:00:00	1774.20	1776.56	1770.33	1772.53	17446	0	5
2021.12.15	00:00:00	1772.55	1773.93	1766.72	1767.87	18504	0	5
2021.12.15	08:00:00	1767.84	1773.67	1764.14	1766.15	32828	0	6
2021.12.15	16:00:00	1766.15	1781.50	1753.12	1779.52	52902	0	6
2021.12.16	00:00:00	1779.54	1786.25	1775.57	1784.57	22966	0	5
2021.12.16	08:00:00	1784.61	1798.21	1782.23	1797.39	40696	0	6
2021.12.16	16:00:00	1797.37	1799.69	1795.02	1798.77	19689	0	6
2021.12.17	00:00:00	1798.81	1809.66	1797.31	1809.16	23539	0	5
2021.12.17	08:00:00	1809.13	1814.27	1804.15	1804.59	34492	0	5
2021.12.17	16:00:00	1804.61	1806.54	1795.86	1798.13	18684	0	6
2021.12.20	00:00:00	1800.13	1804.16	1798.08	1798.26	20784	0	5
2021.12.20	08:00:00	1798.22	1802.36	1791.76	1793.71	32358	0	5
2021.12.20	16:00:00	1793.67	1796.07	1788.36	1791.68	19647	0	5
